S1,S2,VECM(q),mu,Johansen_slope,stdev,model,w1,w2,form_del_min
BTCUSDT,ETHUSDT,0.0,0.0,0.0,0.0032832381525766514,1.0,-0.4048663644926502,0.5951336355073498,90
BTCUSDT,ETHUSDT,0.0,0.0,0.0,0.003224897666251151,1.0,-0.40485328320007635,0.5951467167999237,91
BTCUSDT,ETHUSDT,0.0,0.0,0.0,0.0031046048356603434,1.0,-0.4048284761335166,0.5951715238664835,92
BTCUSDT,ETHUSDT,0.0,0.0,0.0,0.002929968744967292,1.0,-0.40482242171077193,0.595177578289228,93
BTCUSDT,ETHUSDT,0.0,0.0,0.0,0.0028557736285814493,1.0,-0.4048002436141327,0.5951997563858673,94
BTCUSDT,ETHUSDT,0.0,0.0,0.0,0.002828014738508491,1.0,-0.4047853306912546,0.5952146693087453,95
BTCUSDT,ETHUSDT,0.0,0.0,0.0,0.0027707563604903378,1.0,-0.4047578693544222,0.5952421306455777,96
BTCUSDT,ETHUSDT,0.0,0.0,0.0,0.0027433621926618986,1.0,-0.40474696151298145,0.5952530384870185,97
BTCUSDT,ETHUSDT,0.0,0.0,0.0,0.0026055893547462564,1.0,-0.40474903228225345,0.5952509677177467,98
BTCUSDT,ETHUSDT,0.0,0.0,0.0,0.0025201278082647,1.0,-0.40474222379984315,0.5952577762001569,99
BTCUSDT,ETHUSDT,0.0,0.0,0.0,0.0030334466832043186,1.0,-0.4047114058511747,0.5952885941488253,100
BTCUSDT,ETHUSDT,0.0,0.0,0.0,0.0027178538273209185,1.0,-0.4047078569040733,0.5952921430959267,103
BTCUSDT,ETHUSDT,0.0,0.0,0.0,0.0025678264233172546,1.0,-0.40471370800997014,0.5952862919900298,104
BTCUSDT,ETHUSDT,0.0,0.0,0.0,0.0018741136592427994,1.0,-0.404715679184295,0.595284320815705,109
BTCUSDT,ETHUSDT,0.0,0.0,0.0,0.0018673762443889522,1.0,-0.40471006387378344,0.5952899361262165,110
BTCUSDT,ETHUSDT,0.0,2.064461506229469,0.0,0.0023901514775172654,3.0,-0.2907509705963151,0.7092490294036848,111
BTCUSDT,ETHUSDT,0.0,-3.3132507331068886,0.0,0.0011303651409592796,3.0,-0.5873394689689673,0.4126605310310328,188
BTCUSDT,ETHUSDT,0.0,-3.399965360035918,0.0,0.001139828303155773,3.0,-0.592125605862077,0.40787439413792304,190
BTCUSDT,ETHUSDT,0.0,-2.3333921820215906,9.002040145551818e-05,0.0012275765364615028,5.0,-0.5331739944431716,0.46682600555682835,240
BTCUSDT,ETHUSDT,0.0,-2.4217124707453515,8.751360315940845e-05,0.001190123432272338,5.0,-0.5380502578236578,0.4619497421763422,241
BTCUSDT,ETHUSDT,0.0,5.493691717887145,-0.00010930242157898401,0.0016147792319583115,4.0,0.7072581598504518,-0.29274184014954824,265
BTCUSDT,ETHUSDT,0.0,5.615645344620317,-0.00011284006941041048,0.0016331623959708916,4.0,0.713967293550042,-0.28603270644995804,266
BTCUSDT,ETHUSDT,0.0,5.780201378221565,-0.00011437306930551856,0.0017033355494157389,4.0,0.7230300203214548,-0.27696997967854525,267
BTCUSDT,ETHUSDT,0.0,5.804934687441934,-0.00011353608052128257,0.001707910087083379,4.0,0.7243981548131543,-0.2756018451868458,268
BTCUSDT,ETHUSDT,0.0,7.232390628367625,0.0,0.0020817906648718785,2.0,0.8036151849327052,-0.19638481506729472,321
BTCUSDT,ETHUSDT,0.0,-5.720419517986295,0.0,0.0014918736304290249,2.0,-0.7203091920970482,0.27969080790295175,327
BTCUSDT,ETHUSDT,0.0,-5.545611725945242,0.0,0.0014304770545412353,2.0,-0.7106782376919288,0.2893217623080713,328
BTCUSDT,ETHUSDT,0.0,-5.356236174369014,0.0,0.0013705342999860747,2.0,-0.7002465833160127,0.29975341668398725,329
BTCUSDT,ETHUSDT,0.0,-5.346838653844169,0.0,0.001359095611693384,2.0,-0.6997278745501851,0.30027212544981485,330
BTCUSDT,ETHUSDT,0.0,-5.2603868937492635,0.0,0.0013258809709881143,2.0,-0.6949656440922797,0.3050343559077204,331
BTCUSDT,ETHUSDT,0.0,-5.216008581376088,0.0,0.0013131045002358454,2.0,-0.6925239828007731,0.30747601719922696,332
BTCUSDT,ETHUSDT,0.0,-5.234269780775798,0.0,0.0013067114854344126,2.0,-0.6935328536035953,0.3064671463964047,333
BTCUSDT,ETHUSDT,0.0,-5.467756146577529,0.0,0.0013833659461403212,2.0,-0.7063992764859982,0.2936007235140018,334
BTCUSDT,ETHUSDT,0.0,-5.163806747544644,0.0,0.001295792952241222,2.0,-0.6896499833135475,0.3103500166864525,335
BTCUSDT,ETHUSDT,0.0,-5.233907444494937,0.0,0.0013060117734453784,2.0,-0.6935147943862745,0.30648520561372555,336
BTCUSDT,ETHUSDT,0.0,-5.3686221621611585,0.0,0.0013411128672814144,3.0,-0.7009301989781896,0.2990698010218104,337
BTCUSDT,ETHUSDT,0.0,-5.0990189973585025,0.0,0.0013094299067468564,3.0,-0.6860715015027801,0.31392849849722004,338
BTCUSDT,ETHUSDT,0.0,-5.081262654417395,0.0,0.0012964188483547258,3.0,-0.6850916849988976,0.31490831500110245,339
BTCUSDT,ETHUSDT,0.0,-4.990968748792709,0.0,0.0012741479855191372,3.0,-0.68011608814723,0.31988391185277004,340
BTCUSDT,ETHUSDT,0.0,-4.9011686242602135,0.0,0.0012367040429339508,3.0,-0.6751671838934854,0.32483281610651465,341
BTCUSDT,ETHUSDT,0.0,-4.818503459775553,0.0,0.0013405981712145,3.0,-0.6706111789390616,0.3293888210609384,346
BTCUSDT,ETHUSDT,0.0,-4.936072339339344,0.0,0.0013896035403756946,3.0,-0.6770909612135999,0.32290903878640004,347
BTCUSDT,ETHUSDT,0.0,-4.843843268341122,0.0,0.001357608036419456,3.0,-0.6720087940143772,0.32799120598562287,348
BTCUSDT,ETHUSDT,0.0,-4.841752870524119,0.0,0.0013666709933519443,3.0,-0.671892822926658,0.3281071770733421,349
BTCUSDT,ETHUSDT,0.0,-5.290719161281011,0.0,0.0014193181586942792,3.0,-0.6966381523663108,0.30336184763368934,351
BTCUSDT,ETHUSDT,0.0,-3.4399396580947563,3.0448003134351462e-05,0.0010442212813783637,5.0,-0.5945683077883692,0.40543169221163083,363
BTCUSDT,ETHUSDT,0.0,-3.401103949511768,2.9496114726687745e-05,0.0009838660160021789,5.0,-0.5924329297314391,0.4075670702685608,364
BTCUSDT,ETHUSDT,0.0,-3.4119951543035487,2.9661577365998465e-05,0.0009764472450703334,5.0,-0.5930332508688183,0.40696674913118164,365
BTCUSDT,ETHUSDT,0.0,-3.2586388221099636,3.227222795378755e-05,0.0009176322696650372,5.0,-0.5845845983099494,0.4154154016900507,369
BTCUSDT,ETHUSDT,0.0,-3.952015653667836,0.0,0.0012388664480036738,3.0,-0.6228955722023968,0.3771044277976033,370
BTCUSDT,ETHUSDT,0.0,-4.066244614403858,0.0,0.0012634673425940624,3.0,-0.6291919328702129,0.37080806712978714,371
BTCUSDT,ETHUSDT,0.0,-4.587166459509235,0.0,0.00144336869266358,3.0,-0.6578981190199436,0.34210188098005645,372
BTCUSDT,ETHUSDT,0.0,4.903195870265782,0.0,0.0015539028573595293,2.0,0.6752921741417949,-0.32470782585820507,373
BTCUSDT,ETHUSDT,0.0,-4.2766194863197855,0.0,0.0013335398977228677,2.0,-0.6407775766560342,0.3592224233439658,374
BTCUSDT,ETHUSDT,0.0,-3.852899118932646,0.0,0.0011993860932787014,3.0,-0.6174406095052508,0.38255939049474913,375
BTCUSDT,ETHUSDT,0.0,-3.946757746378217,0.0,0.0012228160673982097,3.0,-0.6226134519659272,0.37738654803407273,376
BTCUSDT,ETHUSDT,0.0,-4.036126697275033,0.0,0.0012470360823542304,3.0,-0.6275395611170889,0.3724604388829112,377
BTCUSDT,ETHUSDT,0.0,-4.142566077519926,0.0,0.0012910480078969268,3.0,-0.6334052272099844,0.3665947727900157,378
BTCUSDT,ETHUSDT,0.0,-3.9478972030220696,0.0,0.0012143097250560057,2.0,-0.6226717214709645,0.37732827852903555,379
BTCUSDT,ETHUSDT,0.0,-3.934138587822085,0.0,0.0012072874827920058,3.0,-0.6219218546410665,0.37807814535893347,380
BTCUSDT,ETHUSDT,0.0,-3.9702507444634936,0.0,0.0012243514641351405,2.0,-0.6239026011671426,0.3760973988328574,381
BTCUSDT,ETHUSDT,0.0,-3.851419961645257,0.0,0.0011819299260380797,2.0,-0.6173572548534159,0.38264274514658414,382
BTCUSDT,ETHUSDT,0.0,4.00982927010945,0.0,0.0012308845636366849,2.0,0.6260807777299272,-0.3739192222700728,383
BTCUSDT,ETHUSDT,0.0,4.1362523368637625,0.0,0.0012820627838222105,2.0,0.6330426891897973,-0.3669573108102027,384
BTCUSDT,ETHUSDT,0.0,-3.9575067195599294,0.0,0.0012212819762426434,2.0,-0.623196874753837,0.37680312524616305,385
BTCUSDT,ETHUSDT,0.0,-3.9590312601977655,0.0,0.0012232291072893817,2.0,-0.6232796849052414,0.37672031509475856,386
BTCUSDT,ETHUSDT,0.0,-3.9091806467203196,0.0,0.0012065775406393385,2.0,-0.6205330843312509,0.37946691566874907,387
BTCUSDT,ETHUSDT,0.0,-3.888816390678642,0.0,0.001202466005616038,2.0,-0.6194138092848499,0.38058619071515015,388
BTCUSDT,ETHUSDT,0.0,-3.8969715416675004,0.0,0.0012014247794910934,2.0,-0.6198627622588172,0.3801372377411828,389
BTCUSDT,ETHUSDT,0.0,-3.9260757900317693,0.0,0.001193981458212903,2.0,-0.6214698667629752,0.3785301332370247,390
BTCUSDT,ETHUSDT,0.0,-3.942133154198475,0.0,0.0011956206302472286,2.0,-0.6223549638289186,0.3776450361710813,391
BTCUSDT,ETHUSDT,0.0,-3.9587455048202833,0.0,0.001192807743966022,2.0,-0.6232717348495935,0.3767282651504066,392
BTCUSDT,ETHUSDT,0.0,-3.9302764400437797,0.0,0.0011474952824118449,2.0,-0.6217075483326466,0.3782924516673534,393
BTCUSDT,ETHUSDT,0.0,4.002214587696362,0.0,0.0011837596273628563,2.0,0.6256678678039292,-0.37433213219607075,394
BTCUSDT,ETHUSDT,0.0,3.968010484144582,0.0,0.001172425586338037,2.0,0.6237827367853103,-0.3762172632146897,395
BTCUSDT,ETHUSDT,0.0,4.04874854338833,0.0,0.0012122446017693459,2.0,0.628228162494444,-0.371771837505556,396
BTCUSDT,ETHUSDT,0.0,4.079787797739782,0.0,0.0012303529316093434,2.0,0.6299364127429973,-0.37006358725700267,397
BTCUSDT,ETHUSDT,0.0,4.260762053164193,0.0,0.0013178224313917988,2.0,0.6399092611447494,-0.3600907388552505,398
BTCUSDT,ETHUSDT,0.0,4.347889616993397,0.0,0.001368699526994997,2.0,0.6447104633547843,-0.3552895366452157,399
BTCUSDT,ETHUSDT,0.0,4.383514698756162,0.0,0.0013750412693525741,2.0,0.6466778009595352,-0.35332219904046486,400
BTCUSDT,ETHUSDT,0.0,4.2531519471444135,0.0,0.0013022795694596354,2.0,0.6394957607837212,-0.3605042392162789,401
BTCUSDT,ETHUSDT,0.0,4.295286258763757,0.0,0.0013210949465321926,2.0,0.6418189859761044,-0.3581810140238956,402
BTCUSDT,ETHUSDT,0.0,4.33926249918308,0.0,0.0013665027154784466,2.0,0.6442405334147842,-0.3557594665852158,403
BTCUSDT,ETHUSDT,0.0,4.330233198767348,0.0,0.001333719542380505,2.0,0.6437493789023235,-0.35625062109767647,404
BTCUSDT,ETHUSDT,0.0,4.384106127142077,0.0,0.0013536792827118312,2.0,0.6467203642701242,-0.35327963572987575,405
BTCUSDT,ETHUSDT,0.0,4.371252927939982,0.0,0.0013467919541259564,2.0,0.6460118172391022,-0.35398818276089783,406
BTCUSDT,ETHUSDT,0.0,-4.362096362791779,0.0,0.001306559342522517,2.0,-0.6455139878155132,0.35448601218448694,407
BTCUSDT,ETHUSDT,0.0,4.4683063786069,0.0,0.0013602541580275014,2.0,0.6513659572812426,-0.34863404271875736,408
BTCUSDT,ETHUSDT,0.0,4.7205050700444335,0.0,0.001518581157099957,2.0,0.6652656937155674,-0.33473430628443257,409
BTCUSDT,ETHUSDT,0.0,4.68324922223982,0.0,0.001500497862745084,2.0,0.6632133202528615,-0.33678667974713844,410
BTCUSDT,ETHUSDT,0.0,4.820140395523508,0.0,0.0015834663904142196,2.0,0.6707618365526123,-0.32923816344738766,411
