day,BTCUSDT,ETHUSDT
2021-10-01,43981.07,3024.1
2021-10-01,43784.1,3007.69
2021-10-01,43763.61,3012.23
2021-10-01,43795.56,3014.42
2021-10-01,43841.26,3020.31
2021-10-01,43872.99,3024.13
2021-10-01,43976.22,3031.4
2021-10-01,43899.2,3032.57
2021-10-01,43894.52,3031.71
2021-10-01,43768.3,3021.72
2021-10-01,43677.18,3017.72
2021-10-01,43694.48,3020.09
2021-10-01,43503.8,3008.45
2021-10-01,43497.17,3005.14
2021-10-01,43486.76,3002.69
2021-10-01,43564.77,3010.66
2021-10-01,43596.65,3012.78
2021-10-01,43609.43,3012.69
2021-10-01,43656.29,3017.92
2021-10-01,43665.48,3020.09
2021-10-01,43773.92,3027.79
2021-10-01,43686.14,3019.1
2021-10-01,43680.52,3018.98
2021-10-01,43742.74,3021.65
2021-10-01,43747.74,3022.07
2021-10-01,43749.68,3020.92
2021-10-01,43648.0,3011.17
2021-10-01,43546.17,3003.98
2021-10-01,43543.61,3000.98
2021-10-01,43579.82,3001.94
2021-10-01,43615.21,3006.17
2021-10-01,43400.0,2990.36
2021-10-01,43412.13,2992.64
2021-10-01,43361.31,2985.74
2021-10-01,43369.99,2989.0
2021-10-01,43379.01,2988.85
2021-10-01,43415.12,2994.62
2021-10-01,43467.45,2998.79
2021-10-01,43450.72,2996.73
2021-10-01,43535.28,3003.28
2021-10-01,43521.95,3003.25
2021-10-01,43484.72,3000.01
2021-10-01,43514.82,3001.22
2021-10-01,43600.48,3007.31
2021-10-01,43610.01,3005.37
2021-10-01,43530.17,2992.58
2021-10-01,43627.42,3002.03
2021-10-01,43635.79,3002.98
2021-10-01,43621.0,3003.03
2021-10-01,43652.74,3006.89
2021-10-01,43660.0,3013.19
2021-10-01,43622.88,3009.13
2021-10-01,43601.85,3008.38
2021-10-01,43556.06,3003.68
2021-10-01,43516.28,2997.38
2021-10-01,43501.6,2992.77
2021-10-01,43509.99,2993.66
2021-10-01,43478.55,2992.57
2021-10-01,43543.22,2998.13
2021-10-01,43625.02,2999.93
2021-10-01,43564.81,2995.01
2021-10-01,43537.95,2996.52
2021-10-01,43654.32,3003.4
2021-10-01,43790.92,3009.38
2021-10-01,43696.92,3005.85
2021-10-01,43709.39,3008.03
2021-10-01,43781.57,3012.52
2021-10-01,43813.16,3016.02
2021-10-01,43867.08,3017.14
2021-10-01,43800.34,3012.51
2021-10-01,43817.66,3014.48
2021-10-01,43850.33,3017.44
2021-10-01,43981.77,3024.94
2021-10-01,43948.63,3024.08
2021-10-01,43887.26,3014.7
2021-10-01,43890.11,3013.74
2021-10-01,43795.13,3007.08
2021-10-01,43822.48,3010.3
2021-10-01,43780.73,3009.08
2021-10-01,43913.63,3019.99
2021-10-01,43895.77,3017.13
2021-10-01,43998.19,3024.38
