S1,S2,VECM(q),mu,Johansen_slope,stdev,model,w1,w2
AAVEUSDT,COMPUSDT,0.0,-1.1846532946366934,0.0,0.0017698880162029646,2.0,-0.6035068749831856,0.3964931250168145
AAVEUSDT,FARMUSDT,0.0,-1.9436881999692663,0.0,0.003526031125139351,3.0,-0.6531378443906091,0.346862155609391
AAVEUSDT,QNTUSDT,0.0,0.0,0.0,0.0022480731303919158,1.0,-0.4979518790247169,0.5020481209752832
AUTOUSDT,COMPUSDT,0.0,0.7557917720938312,0.0,0.002576088413328332,3.0,-0.39526048326831864,0.6047395167316814
AUTOUSDT,FARMUSDT,0.0,0.0,0.0,0.00540747148135835,1.0,-0.43044423292952433,0.5695557670704756
COMPUSDT,FARMUSDT,0.0,0.0,0.0,0.005232197194297173,1.0,-0.47467035873782215,0.5253296412621778
COMPUSDT,QNTUSDT,0.0,0.0,0.0,0.0022669359196875647,1.0,-0.497931234675202,0.502068765324798
COMPUSDT,SOLUSDT,0.0,0.0,0.0,0.0021879424793563207,1.0,-0.468310099250149,0.5316899007498511
FARMUSDT,KSMUSDT,0.0,0.0,0.0,0.0055365005975735624,1.0,-0.5293868077933319,0.47061319220666814
FARMUSDT,QNTUSDT,0.0,0.0,0.0,0.004904812042934194,1.0,-0.5232374648016819,0.4767625351983181
