S1,S2,VECM(q),mu,Johansen_slope,stdev,model,w1,w2
AAVEUSDT,DASHUSDT,0.0,-5.732033689638868,0.00024824810561742416,0.00422951512081634,4.0,-0.1809159231229563,-0.8190840768770437
AUTOUSDT,BNBUPUSDT,1.0,-1.893172663337886,0.0002681568431349477,0.0043678367534370445,5.0,-0.5915662525587151,0.408433747441285
BCHUSDT,DASHUSDT,0.0,1.898601431542319,-0.00024054129247861382,0.0029426813566021553,4.0,-0.3104100748225617,0.6895899251774382
BNBUPUSDT,BNBUSDT,0.0,1.0533829934878627,0.0,0.0021784032605052525,3.0,-0.38130127584312706,0.6186987241568729
BNBUPUSDT,DASHUSDT,0.0,5.929491119740328,0.0,0.006576993322082413,2.0,0.14201289726081417,0.8579871027391858
BNBUSDT,DASHUSDT,0.0,5.812526773673534,0.0,0.005680251205004688,3.0,0.21560276355747407,0.7843972364425259
BNBUSDT,SOLUSDT,0.0,4.165938393610189,0.0,0.009802801609322457,3.0,0.27220880920428064,0.7277911907957193
COMPUSDT,DASHUSDT,0.0,0.0,0.0,0.0022881342822347927,1.0,-0.4812850470914204,0.5187149529085797
DASHUSDT,KSMUSDT,0.0,1.8434876633170547,0.0,0.0021477204995911953,3.0,-0.3596720548098766,0.6403279451901235
DASHUSDT,LTCUSDT,1.0,0.5564237607892615,-0.00023484139585670197,0.0023439804336218306,4.0,0.5422639231163013,-0.45773607688369866
DASHUSDT,XMRUSDT,1.0,5.719612118416011,-0.00034113045554936503,0.004232844702256303,4.0,0.7802925606162491,0.21970743938375104
LTCUSDT,SOLUSDT,0.0,-2.6779098898350058,-0.00017193165177621265,0.003583470861480368,5.0,-0.6799557636251626,0.3200442363748375
