S1,S2,VECM(q),mu,Johansen_slope,stdev,model,w1,w2
ATOMUSDT,DOTUSDT,2.0,0.0,0.0,0.003077262370733426,1.0,-0.5075925493233568,0.49240745067664315
ATOMUSDT,FTTUSDT,2.0,4.061530655252001,-0.00018160458577199046,0.005315118369880462,4.0,0.12642650598690738,0.8735734940130926
ATOMUSDT,NEOUSDT,2.0,0.0,0.0,0.0021738237006768985,1.0,-0.5055053088494502,0.4944946911505498
ATOMUSDT,TORNUSDT,0.0,-1.6183661511319245,0.0,0.0035569404569149574,3.0,-0.7393364637873464,0.2606635362126536
ATOMUSDT,TRBUSDT,2.0,0.0,0.0,0.003087637870181285,1.0,-0.5196727568964641,0.480327243103536
ATOMUSDT,ZENUSDT,2.0,0.0,0.0,0.002877440380942588,1.0,-0.543645712361826,0.4563542876381741
AVAXUSDT,LUNAUSDT,1.0,0.0,0.0,0.002078312376012749,1.0,-0.47395582630188987,0.5260441736981101
AVAXUSDT,NEOUSDT,0.0,0.0,0.0,0.0013124498547085444,1.0,-0.4721944206879346,0.5278055793120654
AVAXUSDT,NMRUSDT,0.0,0.0,0.0,0.0016759309459496673,1.0,-0.4725819056525316,0.5274180943474684
AVAXUSDT,ZENUSDT,0.0,-0.24287918339523282,-5.408333198013162e-05,0.001512447870313149,4.0,0.4814350080497133,-0.5185649919502868
AXSUSDT,FTTUSDT,0.0,0.0,0.0,0.007404188062241748,1.0,-0.45397107932370157,0.5460289206762985
AXSUSDT,LUNAUSDT,0.0,-3.443541146371892,0.0,0.004858172526589343,2.0,0.03601094777508765,-0.9639890522249124
AXSUSDT,ZENUSDT,0.0,0.0,0.0,0.007423160772668353,1.0,-0.4679817834032523,0.5320182165967478
DOTUSDT,ZENUSDT,0.0,-0.8829293765848576,0.0,0.0014719359191016142,2.0,0.4272888289115016,-0.5727111710884983
ETCUSDT,FTTUSDT,0.0,0.6642073277629664,0.0,0.0010293755717395627,3.0,-0.4266881045274,0.5733118954726001
ETCUSDT,ICPUSDT,0.0,-0.5963986193350036,0.0,0.0012006646644030655,2.0,-0.5652000024244096,0.43479999757559046
ETCUSDT,LUNAUSDT,1.0,0.0,0.0,0.0018776425522788213,1.0,-0.4867109190119203,0.5132890809880797
ETCUSDT,NMRUSDT,0.0,0.0,0.0,0.001741486655326196,1.0,-0.4853297652239806,0.5146702347760195
FTTUSDT,NEOUSDT,0.0,0.0,0.0,0.0009571045595352977,1.0,-0.4759784333180177,0.5240215666819823
ICPUSDT,LUNAUSDT,0.0,1.4488533719882213,0.0,0.0023791993467748634,2.0,-0.30635735506908673,0.6936426449309133
ICPUSDT,NEOUSDT,0.0,1.2852505689271203,0.0,0.0012216760500286473,3.0,-0.3256579105933847,0.6743420894066153
LINKUSDT,TORNUSDT,0.0,1.2756109836563692,-0.00010654556239359314,0.002154029590292996,4.0,-0.3793733188841956,0.6206266811158044
LUNAUSDT,TRBUSDT,2.0,-1.3713814845233832,-9.959543864208957e-05,0.002198970771689973,4.0,0.3334026773860722,-0.6665973226139278
NEOUSDT,NMRUSDT,0.0,0.0,0.0,0.0012206512902152866,1.0,-0.5003969241821706,0.49960307581782937
NEOUSDT,TRBUSDT,2.0,3.8787647080447356,0.0,0.0038216823526803475,3.0,0.3115663293986676,0.6884336706013324
