S1,S2,VECM(q),mu,Johansen_slope,stdev,model,w1,w2
ADAUPUSDT,ATOMUSDT,0.0,2.7042329323263044,0.0004232451633314595,0.004177581580074143,5.0,-0.02519788849011417,0.9748021115098858
ADAUPUSDT,DCRUSDT,0.0,5.059679527682364,0.00031407865937762306,0.003735264193022215,5.0,0.0763422290911054,0.9236577709088947
ADAUPUSDT,NEOUSDT,0.0,3.1626082821846166,0.0001694736021560603,0.002822706087606209,5.0,-0.0619113377315713,0.9380886622684288
ATOMUSDT,AXSUSDT,1.0,-2.8222538006860045,-0.0005283628316724467,0.005183065147448015,4.0,-0.9529937114066366,-0.04700628859336347
ATOMUSDT,DCRUSDT,0.0,-2.293883148974031,0.0,0.0026380476774148062,2.0,0.35288198749591015,-0.6471180125040898
ATOMUSDT,DOTUSDT,0.0,-3.297306470551564,-0.00044323146350877096,0.0034444923077110775,4.0,-0.3795289336002791,-0.6204710663997208
ATOMUSDT,LUNAUSDT,0.0,-2.7402013350925802,0.0,0.0041192052348660415,2.0,-0.4709640922116339,-0.5290359077883662
ATOMUSDT,WNXMUSDT,0.0,0.0,0.0,0.0031253597745296543,1.0,-0.5677892525388285,0.4322107474611715
ATOMUSDT,ZENUSDT,0.0,-2.2420560113149897,-0.00040963887883266857,0.0038618226560399116,4.0,-0.9040968651163112,0.0959031348836889
AVAXUSDT,AXSUSDT,1.0,0.0,0.0,0.009598237404734302,1.0,-0.32792524664116085,0.6720747533588391
AVAXUSDT,FILUSDT,0.0,3.50980605258978,0.000569678319127464,0.0042586121806037274,5.0,0.5624327933078261,0.4375672066921738
AVAXUSDT,LINKUSDT,3.0,0.0,0.0,0.0036109323665889344,1.0,-0.5000582233829166,0.49994177661708333
AVAXUSDT,WNXMUSDT,0.0,-3.7329713020481847,-0.0003875807107560608,0.0038135809708148925,4.0,-0.14302685353091232,-0.8569731464690877
AVAXUSDT,ZENUSDT,0.0,3.614143565731335,0.00040632847017503423,0.0039489341781563355,5.0,0.3954091105947675,0.6045908894052325
AXSUSDT,DOTUSDT,1.0,3.3323089473760996,0.0004110686063816811,0.003473977667837411,4.0,-0.041922783978806694,0.9580772160211933
AXSUSDT,FTTUSDT,1.0,0.0,0.0,0.011880662213598093,1.0,-0.6902533061926751,0.3097466938073249
AXSUSDT,NEOUSDT,1.0,3.2072478261297546,0.00023863145109390732,0.0027046288342561144,4.0,-0.08531295880216076,0.9146870411978393
