S1,S2,VECM(q),mu,Johansen_slope,stdev,model,w1,w2
ETHUSDT,KP3RUSDT,0.0,0.0,0.0,0.0021872592731650396,1.0,-0.4453169438543138,0.5546830561456861
ETHUSDT,MKRUSDT,0.0,0.0,0.0,0.001259299264249753,1.0,-0.4840232238095899,0.51597677619041
ETHUSDT,PAXGUSDT,0.0,-5.536496252618033,0.0,0.0003952644106712684,2.0,0.12340071385170501,-0.876599286148295
ETHUSDT,YFIIUSDT,0.0,0.0,0.0,0.0034455269124038807,1.0,-0.486760809513227,0.513239190486773
KP3RUSDT,MKRUSDT,0.0,0.0,0.0,0.0022437703188940765,1.0,-0.5388441944518516,0.46115580554814845
KP3RUSDT,PAXGUSDT,0.0,0.0,0.0,0.002077157814866627,1.0,-0.5288857639188688,0.4711142360811313
KP3RUSDT,YFIIUSDT,0.0,0.0,0.0,0.0038709031478622673,1.0,-0.5415094367429716,0.4584905632570284
MKRUSDT,PAXGUSDT,0.0,-6.158889479359567,0.0,0.0005168008923080921,2.0,0.08680792576597217,-0.9131920742340279
MKRUSDT,YFIIUSDT,0.0,0.0,0.0,0.0036402958478576625,1.0,-0.5027181327625511,0.497281867237449
PAXGUSDT,YFIIUSDT,0.0,0.0,0.0,0.003305558168354296,1.0,-0.5126898493487206,0.4873101506512793
