S1,S2,VECM(q),mu,Johansen_slope,stdev,model,w1,w2
AAVEUSDT,ETHUSDT,1.0,-7.679391763183684,0.0,0.0026400351436759936,2.0,-0.2911890201436437,-0.7088109798563563
ADAUSDT,ATOMUSDT,0.0,-1.0775983873829997,0.0,0.002330376560803897,2.0,-0.8728819485556635,-0.12711805144433655
ADAUSDT,BNBUSDT,0.0,0.0,0.0,0.0025319716026318538,1.0,-0.9005718151728724,0.09942818482712762
ADAUSDT,CRVUSDT,0.0,0.0,0.0,0.0021364195029222794,1.0,-0.6747895252480943,0.32521047475190573
ADAUSDT,LUNAUSDT,0.0,-1.2447059035120804,0.0,0.0026246086081577417,3.0,-0.8344890450751673,-0.16551095492483267
ADAUSDT,MATICUSDT,0.0,0.0,0.0,0.0011919290919050099,1.0,-0.47283450782569786,0.5271654921743021
ADAUSDT,UNIUSDT,0.0,-2.83517749160717,0.0,0.0031462462387813702,2.0,0.10466129795458218,-0.8953387020454179
ATOMUSDT,AVAXUSDT,0.0,-1.753279549267767,0.0,0.0018762169069015315,3.0,-0.7737444540266616,0.22625554597333838
ATOMUSDT,BCHUSDT,0.0,0.0,0.0,0.0022091893142289916,1.0,-0.641379118580737,0.35862088141926307
ATOMUSDT,BTCUSDT,0.0,0.0,0.0,0.0028144087470721845,1.0,-0.7555045596626994,0.24449544033730064
ATOMUSDT,CRVUSDT,0.0,0.0,0.0,0.003841977321557911,1.0,-0.2922180908940063,0.7077819091059938
ATOMUSDT,ELFUSDT,2.0,0.0,0.0,0.002363537626115726,1.0,0.13463368563723568,0.8653663143627643
ATOMUSDT,ETHUSDT,0.0,0.0,0.0,0.0025967091112210454,1.0,-0.7021609152060587,0.2978390847939413
ATOMUSDT,LINKUSDT,0.0,0.0,0.0,0.0020114329987611797,1.0,-0.4945461601062509,0.5054538398937491
ATOMUSDT,TRXUSDT,0.0,-2.776520949896943,0.0,0.0015334030918272873,2.0,-0.3996827091027866,0.6003172908972134
ATOMUSDT,YFIUSDT,0.0,6.703003646676847,0.0,0.001828590009039513,3.0,-0.2689336058974801,0.7310663941025198
AVAXUSDT,BTCUSDT,0.0,0.0,0.0,0.012170564537468264,1.0,-0.7100719042851176,0.28992809571488254
AVAXUSDT,CRVUSDT,0.0,0.0,0.0,0.006013251013229885,1.0,-0.24711336631074043,0.7528866336892596
AVAXUSDT,EOSUSDT,1.0,1.402204558024381,0.0,0.002284737848899834,3.0,-0.02213048399268505,0.977869516007315
AVAXUSDT,ETHUSDT,0.0,6.957211887539262,-3.192434349089047e-06,0.0011687354677803845,4.0,-0.11588654187731619,0.8841134581226838
AVAXUSDT,LTCUSDT,0.0,3.690832063087986,0.0,0.0018613778884178144,3.0,-0.1669315791099158,0.8330684208900841
AVAXUSDT,TRXUSDT,0.0,-2.6293814875045767,0.0,0.001579165043166327,2.0,-0.1721649420953145,0.8278350579046855
AVAXUSDT,UNIUSDT,0.0,-2.7911359794407105,0.0,0.002249367102419555,2.0,0.05904063048010192,-0.9409593695198981
AVAXUSDT,YFIUSDT,0.0,8.967320432690705,0.0,0.0019973015716107673,3.0,-0.10136372014620433,0.8986362798537957
BCHUSDT,CRVUSDT,0.0,0.0,0.0,0.0052782651513165685,1.0,-0.1873937989144219,0.8126062010855781
BCHUSDT,DOTUSDT,0.0,0.0,0.0,0.0014279186369735223,1.0,-0.3820205149829626,0.6179794850170375
BCHUSDT,MATICUSDT,0.0,0.0,0.0,0.0034017319435679693,1.0,-0.09087107697921222,0.9091289230207878
BCHUSDT,UNIUSDT,0.0,0.0,0.0,0.001379109659763713,1.0,-0.33619821598023764,0.6638017840197623
BNBUSDT,CRVUSDT,0.0,0.0,0.0,0.004638805870749707,1.0,-0.1862739226267416,0.8137260773732584
BNBUSDT,LINKUSDT,0.0,0.0,0.0,0.005071688515631146,1.0,-0.3521108260810649,0.6478891739189351
BNBUSDT,MATICUSDT,0.0,-3.656796077282447,-9.782678481516225e-06,0.0018153310542550992,4.0,-0.6054410420201406,0.39455895797985935
BNBUSDT,TRXUSDT,0.0,0.0,0.0,0.003548367703636131,1.0,0.25701886041363803,0.742981139586362
BTCUSDT,CRVUSDT,0.0,0.0,0.0,0.006420085115662217,1.0,-0.11760739587437355,0.8823926041256265
BTCUSDT,DOTUSDT,0.0,0.0,0.0,0.0020214140500977333,1.0,-0.2635206980405423,0.7364793019594578
BTCUSDT,FTMUSDT,0.0,0.0,0.0,0.006708460243984861,1.0,-0.08822507064804869,0.9117749293519513
BTCUSDT,LINKUSDT,0.0,0.0,0.0,0.004490004773552614,1.0,-0.240675453846205,0.759324546153795
BTCUSDT,MATICUSDT,0.0,0.0,0.0,0.0036871269491524764,1.0,-0.054730966099362705,0.9452690339006373
BTCUSDT,NEARUSDT,0.0,-7.876125917146465,0.0,0.002539572928993162,2.0,-0.6330970842924515,-0.36690291570754846
BTCUSDT,UNIUSDT,0.0,0.0,0.0,0.001651677240645033,1.0,-0.22666261395503545,0.7733373860449646
CRVUSDT,DOTUSDT,0.0,0.0,0.0,0.003894950478094871,1.0,-0.7282323166622522,0.27176768333774776
CRVUSDT,ELFUSDT,2.0,0.0,0.0,0.0022000205159414883,1.0,0.2738611679412984,0.7261388320587017
CRVUSDT,ETHUSDT,0.0,0.0,0.0,0.005844804028976034,1.0,-0.8510768715461273,0.1489231284538727
CRVUSDT,FTMUSDT,0.0,-1.2107311906647067,-2.5605040518500515e-05,0.006438679327887368,4.0,-0.8979884562841004,0.10201154371589961
CRVUSDT,LINKUSDT,0.0,0.0,0.0,0.0042088274779826535,1.0,-0.7032564231288646,0.29674357687113545
CRVUSDT,LTCUSDT,0.0,0.0,0.0,0.005127074228011707,1.0,-0.7829257033191084,0.21707429668089162
CRVUSDT,LUNAUSDT,0.0,0.0,0.0,0.004174704002930929,1.0,-0.7264032257471259,0.27359677425287415
CRVUSDT,MATICUSDT,0.0,-0.8914592343050719,-2.1160439705839116e-05,0.004672935060870852,4.0,-0.7259469542108454,0.2740530457891546
CRVUSDT,NEARUSDT,0.0,-1.758528277501694,0.0,0.004318829854747616,3.0,-0.6709700884075651,-0.32902991159243494
CRVUSDT,TRXUSDT,0.0,-1.858414249142005,0.0,0.002980505332409665,2.0,-0.5005497893245802,0.4994502106754199
CRVUSDT,UNIUSDT,0.0,0.0,0.0,0.004194334326120935,1.0,-0.6871051062023005,0.31289489379769964
CRVUSDT,XRPUSDT,0.0,0.0,0.0,0.006170633376654952,1.0,-0.13869764029507325,0.8613023597049267
CRVUSDT,YFIUSDT,0.0,0.0,0.0,0.006273107972740321,1.0,-0.8763672517196551,0.12363274828034486
DOTUSDT,UNIUSDT,0.0,0.0,0.0,0.0012430010448876987,1.0,-0.4503370921495946,0.5496629078504054
ELFUSDT,FTMUSDT,2.0,0.0,0.0,0.0023879265219129723,1.0,0.6567062854681885,0.3432937145318114
ELFUSDT,LTCUSDT,2.0,0.0,0.0,0.003275864618252342,1.0,0.9052832007254639,0.09471679927453609
ELFUSDT,MATICUSDT,2.0,0.0,0.0,0.002247912823334186,1.0,0.5336716055053446,0.4663283944946553
ELFUSDT,UNIUSDT,2.0,0.0,0.0,0.003023563430500468,1.0,0.8534552615016374,0.14654473849836258
ELFUSDT,XRPUSDT,2.0,0.0,0.0,0.0045574336897727516,1.0,0.29995497851294833,0.7000450214870517
ELFUSDT,YFIUSDT,2.0,0.0,0.0,0.0040535441284146176,1.0,0.9494809591432801,0.050519040856719835
ETHUSDT,FTMUSDT,0.0,-8.389459118294242,0.0,0.004607363007297039,2.0,-0.9925615834540755,0.007438416545924479
ETHUSDT,LINKUSDT,0.0,7.188412145310184,0.0,0.002089215971705581,2.0,0.8937383836578483,-0.10626161634215178
ETHUSDT,LTCUSDT,0.0,-8.262146979274982,0.0,0.003455233514092128,2.0,-0.9365313008861386,-0.06346869911386144
ETHUSDT,LUNAUSDT,0.0,-5.925414051284186,0.0,0.001832980753035003,2.0,-0.7954348260271296,0.20456517397287052
ETHUSDT,MATICUSDT,0.0,0.0,0.0,0.003538690417677093,1.0,-0.07044356884549646,0.9295564311545035
ETHUSDT,NEARUSDT,0.0,-7.403215073286145,0.0,0.002808928130723606,2.0,-0.8276704513367923,-0.17232954866320777
ETHUSDT,TRXUSDT,0.0,0.0,0.0,0.004463657629481432,1.0,0.20897015278731618,0.7910298472126838
ETHUSDT,UNIUSDT,0.0,0.0,0.0,0.0015051809827241833,1.0,-0.2775696829613016,0.7224303170386984
FTMUSDT,SANDUSDT,0.0,0.0,0.0,0.005569335635057739,1.0,-0.4646506618659368,0.5353493381340633
FTMUSDT,XRPUSDT,0.0,0.0,0.0,0.006155183261681595,1.0,-0.18257624519832177,0.8174237548016783
LINKUSDT,SANDUSDT,0.0,0.0,0.0,0.00854172611771487,1.0,-0.20878143555513912,0.7912185644448609
LINKUSDT,XRPUSDT,0.0,0.0,0.0,0.006861036982084936,1.0,-0.06400030407844029,0.9359996959215597
LTCUSDT,MATICUSDT,0.0,-3.6297723277652096,-2.4583961741345116e-05,0.0012242426120233365,4.0,-0.7162009267971672,0.28379907320283293
LTCUSDT,YFIUSDT,0.0,-2.780205931376507,-2.4587256990498177e-05,0.002322378179921742,4.0,-0.8391681557570441,0.160831844242956
LUNAUSDT,NEARUSDT,0.0,3.0462538301205973,0.0,0.002539120755047348,3.0,0.4491101323902149,0.5508898676097851
LUNAUSDT,TRXUSDT,0.0,-2.925745064357593,0.0,0.0015617328725183938,2.0,-0.4067875701500109,0.5932124298499891
LUNAUSDT,UNIUSDT,0.0,2.76936345853084,0.0,0.003124981627368437,2.0,-0.06689372413893521,0.9331062758610648
LUNAUSDT,YFIUSDT,0.0,6.585073700071662,0.0,0.0018146226258853953,3.0,-0.2706935907474287,0.7293064092525714
MATICUSDT,SANDUSDT,0.0,0.0,0.0,0.0035823233997479068,1.0,-0.5916740041678584,0.4083259958321417
MATICUSDT,TRXUSDT,0.0,0.0,0.0,0.0031724826249557095,1.0,0.7774429619317921,0.2225570380682079
MATICUSDT,UNIUSDT,0.0,-2.947328303155796,0.0,0.004257385010622763,2.0,0.07779615183689756,-0.9222038481631024
NEARUSDT,SANDUSDT,0.0,0.0,0.0,0.005183015148282099,1.0,-0.2850429782862885,0.7149570217137116
NEARUSDT,UNIUSDT,0.0,3.176000231789813,0.0,0.003619162377307041,3.0,0.07904978660990615,0.9209502133900939
NEARUSDT,XRPUSDT,0.0,0.0,0.0,0.007964895902209055,1.0,-0.0931033986710117,0.9068966013289883
SANDUSDT,TRXUSDT,0.0,0.0,0.0,0.0050084494826651855,1.0,0.7070313460901011,0.292968653909899
SANDUSDT,UNIUSDT,0.0,0.0,0.0,0.00762495469678456,1.0,-0.7780314652048175,0.2219685347951826
TRXUSDT,XRPUSDT,0.0,0.0,0.0,0.008009989132507367,1.0,0.09650499061306594,0.9034950093869341
TRXUSDT,YFIUSDT,0.0,-7.609124747842712,0.0,0.001445366543748715,2.0,0.3489316032920266,-0.6510683967079735
UNIUSDT,XRPUSDT,0.0,0.0,0.0,0.008232723978586324,1.0,-0.06838764251383164,0.9316123574861683
UNIUSDT,YFIUSDT,0.0,0.0,0.0,0.0027620073392915956,1.0,-0.7634279660076395,0.2365720339923605
XRPUSDT,YFIUSDT,2.0,7.799928779652935,6.815714912280622e-06,0.002034109253224837,4.0,-0.2503764806062058,0.7496235193937942
