S1,S2,VECM(q),mu,Johansen_slope,stdev,model,w1,w2
ADAUSDT,MATICUSDT,1.0,-0.06094178534697092,4.392659099430345e-05,0.0025817901357514596,5.0,-0.5861323339963741,0.41386766600362584
ADAUSDT,USDCUSDT,2.0,0.0007845790853883511,0.0,0.00013189367594034334,2.0,0.003949807050979018,0.996050192949021
ATOMUSDT,EOSUSDT,1.0,0.1793235204193479,0.0,0.0017562644088522452,2.0,0.40756525111350134,-0.5924347488864986
ATOMUSDT,FTMUSDT,1.0,-1.8039667579531966,-3.4171622215222795e-05,0.001831144222214913,4.0,-0.44495190413593755,0.5550480958640625
ATOMUSDT,MATICUSDT,1.0,1.11484668128533,-2.3609936598648373e-05,0.0026234349388927717,4.0,0.5117901437055817,-0.4882098562944182
ATOMUSDT,TRXUSDT,1.0,-2.6765292988730365,0.0,0.0014251966580695835,3.0,-0.3827373261992638,0.6172626738007362
BCHUSDT,BNBUSDT,1.0,0.9838191799231168,-3.098720983008817e-05,0.0014955846866752816,4.0,0.5617625058902471,-0.43823749410975293
BCHUSDT,FTMUSDT,1.0,-4.117609114228421,0.0,0.0015110357338459055,3.0,-0.5724095849461617,0.4275904150538384
BNBUSDT,TRXUSDT,1.0,-4.14207097043655,0.0,0.0012175148528355384,3.0,-0.4524408435796302,0.5475591564203698
BNBUSDT,USDCUSDT,2.0,0.0246048172493845,0.0,0.00011114450143847325,2.0,0.0043556432664073556,0.9956443567335926
BNBUSDT,YFIUSDT,1.0,3.515905240762936,-3.088028063594958e-05,0.002000209215252453,5.0,-0.42672791815929073,0.5732720818407092
CRVUSDT,LTCUSDT,1.0,-2.3832276729289616,0.0,0.0018308678861115575,2.0,0.46842231493794967,-0.5315776850620504
DOGEUSDT,MATICUSDT,1.0,0.8184995964008323,-5.113557479104104e-05,0.003842835680739311,5.0,-0.4458089088411245,0.5541910911588754
DOTUSDT,FTMUSDT,1.0,-2.0861806799126823,-2.0069566284865232e-05,0.0019331748171294316,4.0,-0.49461016823066023,0.5053898317693398
DOTUSDT,NEARUSDT,1.0,-0.8450374720795081,0.0,0.0017844917883141434,2.0,-0.464766235388207,0.5352337646117931
DOTUSDT,UNIUSDT,1.0,0.0,0.0,0.002586280612794232,1.0,-0.5020291103660872,0.4979708896339128
EOSUSDT,FTMUSDT,1.0,-1.3380669557857594,-3.20204658659866e-05,0.0016404053780655478,4.0,-0.5326820942247827,0.4673179057752173
ETHUSDT,USDCUSDT,3.0,-0.06739667083837915,0.0,8.89143480792267e-05,2.0,-0.008895474921104587,-0.9911045250788955
FTMUSDT,NEARUSDT,1.0,1.1060221379499515,2.1989410123082802e-05,0.0018040006402720767,5.0,-0.4749181212060493,0.5250818787939507
FTMUSDT,TRXUSDT,1.0,1.0317601700320216,-2.722671743863785e-05,0.0014645113377434883,4.0,0.4351986652944479,-0.5648013347055522
FTMUSDT,YFIUSDT,1.0,-6.578015526496607,0.0,0.0016171150433423578,2.0,0.42005106782000207,-0.5799489321799979
LINKUSDT,UNIUSDT,1.0,0.0,0.0,0.0017282225555134807,1.0,-0.49240386593740526,0.5075961340625949
LINKUSDT,USDCUSDT,2.0,0.0122701854947854,0.0,9.662056254877691e-05,2.0,0.004235844671083614,0.9957641553289164
LINKUSDT,YFIUSDT,1.0,4.090597285547126,0.0,0.0017688897176236114,2.0,-0.47150733200464295,0.528492667995357
MATICUSDT,UNIUSDT,1.0,1.5998897563482832,-2.311115035854729e-05,0.0022259388480812305,4.0,-0.409308123373092,0.5906918766269079
SANDUSDT,USDCUSDT,2.0,0.0063525306977625295,0.0,0.00010190908543724868,2.0,-0.003771431330709094,-0.996228568669291
SOLUSDT,USDCUSDT,3.0,0.00891207400376816,0.0,0.00024962863860461597,2.0,0.002687755099401057,0.997312244900599
TRXUSDT,YFIUSDT,2.0,6.465850700672824,0.0,0.0018462872510696146,3.0,-0.5193960128730611,0.4806039871269389
USDCUSDT,YFIUSDT,2.0,-0.04724934960221022,0.0,8.852766789586501e-05,2.0,-0.9954237445731917,-0.004576255426808343
